instant,dteday,season,mnth,weekday,weathersit,temp,hum,windspeed,cnt
1,2011-01-01,1,1,6,2,0.344167,0.805833,0.160446,985
2,2011-01-02,1,1,0,2,0.363478,0.696087,0.248539,801
3,2011-01-03,1,1,1,1,0.196364,0.437273,0.248309,1349
4,2011-01-04,1,1,2,1,0.2,0.590435,0.160296,1562
5,2011-01-05,1,1,3,1,0.226957,0.436957,0.1869,1600
6,2011-01-06,1,1,4,1,0.204348,0.518261,0.0895652,1606
7,2011-01-07,1,1,5,2,0.196522,0.498696,0.168726,1510
8,2011-01-08,1,1,6,2,0.165,0.535833,0.266804,959
9,2011-01-09,1,1,0,1,0.138333,0.434167,0.36195,822
10,2011-01-10,1,1,1,1,0.150833,0.482917,0.223267,1321
11,2011-01-11,1,1,2,2,0.169091,0.686364,0.122132,1263
12,2011-01-12,1,1,3,1,0.172727,0.599545,0.304627,1162
13,2011-01-13,1,1,4,1,0.165,0.470417,0.301,1406
14,2011-01-14,1,1,5,1,0.16087,0.537826,0.126548,1421
15,2011-01-15,1,1,6,2,0.233333,0.49875,0.157963,1248
16,2011-01-16,1,1,0,1,0.231667,0.48375,0.188433,1204
17,2011-01-17,1,1,1,2,0.175833,0.5375,0.194017,1000
18,2011-01-18,1,1,2,2,0.216667,0.861667,0.146775,683
19,2011-01-19,1,1,3,2,0.292174,0.741739,0.208317,1650
20,2011-01-20,1,1,4,2,0.261667,0.538333,0.195904,1927
21,2011-01-21,1,1,5,1,0.1775,0.457083,0.353242,1543
22,2011-01-22,1,1,6,1,0.0591304,0.4,0.17197,981
23,2011-01-23,1,1,0,1,0.0965217,0.436522,0.2466,986
24,2011-01-24,1,1,1,1,0.0973913,0.491739,0.15833,1416
25,2011-01-25,1,1,2,2,0.223478,0.616957,0.129796,1985
26,2011-01-26,1,1,3,3,0.2175,0.8625,0.29385,506
27,2011-01-27,1,1,4,1,0.195,0.6875,0.113837,431
28,2011-01-28,1,1,5,2,0.203478,0.793043,0.1233,1167
29,2011-01-29,1,1,6,1,0.196522,0.651739,0.145365,1098
30,2011-01-30,1,1,0,1,0.216522,0.722174,0.0739826,1096
31,2011-01-31,1,1,1,2,0.180833,0.60375,0.187192,1501
32,2011-02-01,1,2,2,2,0.192174,0.829565,0.053213,1360
33,2011-02-02,1,2,3,2,0.26,0.775417,0.264308,1526
34,2011-02-03,1,2,4,1,0.186957,0.437826,0.277752,1550
35,2011-02-04,1,2,5,2,0.211304,0.585217,0.127839,1708
36,2011-02-05,1,2,6,2,0.233333,0.929167,0.161079,1005
37,2011-02-06,1,2,0,1,0.285833,0.568333,0.1418,1623
38,2011-02-07,1,2,1,1,0.271667,0.738333,0.0454083,1712
39,2011-02-08,1,2,2,1,0.220833,0.537917,0.36195,1530
40,2011-02-09,1,2,3,2,0.134783,0.494783,0.188839,1605
41,2011-02-10,1,2,4,1,0.144348,0.437391,0.221935,1538
42,2011-02-11,1,2,5,1,0.189091,0.506364,0.10855,1746
43,2011-02-12,1,2,6,1,0.2225,0.544167,0.203367,1472
44,2011-02-13,1,2,0,1,0.316522,0.457391,0.260883,1589
45,2011-02-14,1,2,1,1,0.415,0.375833,0.417908,1913
46,2011-02-15,1,2,2,1,0.266087,0.314348,0.291374,1815
47,2011-02-16,1,2,3,1,0.318261,0.423478,0.251791,2115
48,2011-02-17,1,2,4,1,0.435833,0.505,0.230104,2475
49,2011-02-18,1,2,5,1,0.521667,0.516667,0.264925,2927
50,2011-02-19,1,2,6,1,0.399167,0.187917,0.507463,1635
51,2011-02-20,1,2,0,1,0.285217,0.407826,0.223235,1812
52,2011-02-21,1,2,1,2,0.303333,0.605,0.307846,1107
53,2011-02-22,1,2,2,1,0.182222,0.577778,0.195683,1450
54,2011-02-23,1,2,3,1,0.221739,0.423043,0.094113,1917
55,2011-02-24,1,2,4,2,0.295652,0.697391,0.250496,1807
56,2011-02-25,1,2,5,2,0.364348,0.712174,0.346539,1461
57,2011-02-26,1,2,6,1,0.2825,0.537917,0.186571,1969
58,2011-02-27,1,2,0,1,0.343478,0.68,0.125248,2402
59,2011-02-28,1,2,1,2,0.407273,0.876364,0.289686,1446
60,2011-03-01,1,3,2,1,0.266667,0.535,0.216425,1851
61,2011-03-02,1,3,3,1,0.335,0.449583,0.307833,2134
62,2011-03-03,1,3,4,1,0.198333,0.318333,0.225754,1685
63,2011-03-04,1,3,5,2,0.261667,0.610417,0.203346,1944
64,2011-03-05,1,3,6,2,0.384167,0.789167,0.251871,2077
65,2011-03-06,1,3,0,2,0.376522,0.948261,0.343287,605
66,2011-03-07,1,3,1,1,0.261739,0.551304,0.341352,1872
67,2011-03-08,1,3,2,1,0.2925,0.420833,0.12065,2133
68,2011-03-09,1,3,3,2,0.295833,0.775417,0.22015,1891
69,2011-03-10,1,3,4,3,0.389091,0,0.261877,623
70,2011-03-11,1,3,5,2,0.316522,0.649565,0.23297,1977
71,2011-03-12,1,3,6,1,0.329167,0.594583,0.220775,2132
72,2011-03-13,1,3,0,1,0.384348,0.527391,0.270604,2417
73,2011-03-14,1,3,1,1,0.325217,0.496957,0.136926,2046
74,2011-03-15,1,3,2,2,0.317391,0.655652,0.184309,2056
